发送时间：2019-04-09 17:15:33 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-10 10:28:17 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：发送失败 
发送时间：2019-04-10 10:29:55 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-04-10 10:37:29 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-04-10 14:36:53 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-10 16:05:07 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产数据已经更新！！ 
发送时间：2019-04-10 16:09:43 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-10 16:14:21 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-10 16:15:35 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-10 16:17:04 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-10 16:51:23 	 服务器地址：http://127.0.0.1:9099/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-04-11 15:36:46 	 服务器地址：http://192.168.2.118:9099/assets/report/ 	 返回结果：资产数据已经更新！！ 
发送时间：2019-04-11 15:40:34 	 服务器地址：http://192.168.2.118:9099/assets/report/ 	 返回结果：资产数据已经更新！！ 
发送时间：2019-04-11 15:41:36 	 服务器地址：http://192.168.2.118:9099/assets/report/ 	 返回结果：资产数据已经更新！！ 
